,,,,,,,Length class (mb),,,,,Length class (kb),,,,,,
Animal ID,State,LGA,Cluster,No. ROH,Total length ROH (kb),Average length ROH (kb),0-0.2,0.2-0.4,0.4-0.8,0.8-1.6,>1.6,>100,>500,>1000,Froh,Froh for ROHs >100 kb,Froh for ROHs >500 kb,Froh for ROH > 1 Mb
F_Rizzo_MBR,QLD,MoretonBay,N_QLD,2258,608627,269.54,1311,550,301,87,9,608626.66,221799.13,75361.52,0.20,0.20,0.07,0.02
F_Tamara_O_MBR,QLD,MoretonBay,N_QLD,2206,523325,237.23,1394,520,225,65,2,523325.16,149333.81,39202.33,0.17,0.17,0.05,0.01
F_Tanja_MBR,QLD,MoretonBay,N_QLD,2114,531051,251.21,1309,499,221,81,4,531051.17,180839.58,52982.46,0.17,0.17,0.06,0.02
F_The_Hoff_MBR,QLD,MoretonBay,N_QLD,1944,465585,239.50,1242,421,220,59,2,465585.32,144741.36,40880.01,0.15,0.15,0.05,0.01
FarNorthQLD-K2,QLD,Gilberton,N_QLD,2002,428018,213.80,1366,441,164,27,4,428017.94,90658.16,14995.90,0.14,0.14,0.03,0.00
FarNorthQLD-K3,QLD,Gilberton,N_QLD,1993,428533,215.02,1348,440,166,38,1,428432.96,97846.45,23483.56,0.14,0.14,0.03,0.01
FCoast-F-51032,QLD,FraserCoast,N_QLD,3262,847265,259.74,1757,977,435,88,5,847264.97,236127.23,53422.59,0.28,0.28,0.08,0.02
FCoast-M-61304,QLD,FraserCoast,N_QLD,3893,1060000,273.23,1942,1241,594,112,4,1063663.16,332120.21,51190.97,0.35,0.35,0.11,0.02
FCoast-M-61459,QLD,FraserCoast,N_QLD,1623,297511,183.31,1207,321,90,4,0,297511.22,30504.30,1087.53,0.10,0.10,0.01,0.00
FCoast-M-93594,QLD,FraserCoast,N_QLD,2368,590132,249.21,1411,605,272,76,4,590131.62,181616.32,47011.71,0.19,0.19,0.06,0.02
Fraser_F_72461,QLD,FraserCoast,N_QLD,3733,1080000,288.52,1827,1119,637,143,7,1077045.32,384421.31,82021.02,0.35,0.35,0.13,0.03
Fraser_M_77266,QLD,FraserCoast,N_QLD,3061,765556,250.10,1713,872,415,59,2,765556.17,208955.47,32491.66,0.25,0.25,0.07,0.01
Fraser_U_57909,QLD,FraserCoast,N_QLD,3419,853363,249.59,1873,1037,450,59,0,853362.98,225351.94,21644.38,0.28,0.28,0.07,0.01
Fraser-M-72855,QLD,FraserCoast,N_QLD,3834,1060000,275.92,1928,1179,586,136,5,1057785.22,346305.93,71070.60,0.35,0.34,0.11,0.02
Fraser-M-79972,QLD,FraserCoast,N_QLD,3211,917445,285.72,1628,955,487,131,10,917444.56,328658.17,89620.04,0.30,0.30,0.11,0.03
Fraser-M-87546,QLD,FraserCoast,N_QLD,2772,733549,264.63,1537,731,419,79,6,733549.39,235043.94,57388.50,0.24,0.24,0.08,0.02
Gympie_F_82257,QLD,Gympie,N_QLD,1852,371770,200.74,1301,400,133,18,0,371769.58,65377.48,8501.03,0.12,0.12,0.02,0.00
Gympie_F_92626,QLD,Gympie,N_QLD,1649,306375,185.79,1237,311,89,11,1,306374.94,42180.83,7702.70,0.10,0.10,0.01,0.00
Gympie_F_93216,QLD,Gympie,N_QLD,1722,324052,188.18,1306,306,95,15,0,324052.40,48464.96,6107.20,0.11,0.11,0.02,0.00
